#,courseNo,genEdType,isInter,isThOrInter,courseNameEn,courseNameTh,courseDescTh,courseDescEn
11,0201110,Interdisciplinary,,,SICHANG STUDY,สีชังศึกษา,กระบวนการศึกษาชุมชนแบบบูรณาการ สภาพแวดล้อม วิถีชีวิต เศรษฐกิจ สังคม ภูมิศาสตร์ ประวัติศาสตร์ ศิลปวัฒนธรรมของชุมชนเกาะสีชัง การจัดการทรัพยากรชายฝั่งแบบบูรณาการเพื่อการพัฒนาอย่างยั่งยืน ความสัมพันธ์ระหว่างสภาพเศรษฐกิจและสังคม กับสิ่งแวดล้อมและการใช้วิทยาศาสตร์และเทคโนโลยีในชุมชนเกาะสีชัง,"Process of integrated community studies; environment, ways of life, economy, society, geography, history, art and culture of Sichang's community; integrated coastal zone management for sustainable development; socio-economic-environment relationships and the use of science and technology at Sichang's community."
12,0201111,Interdisciplinary,,,WISDOM OF LIVING,ชีวิตติดปัญญา,ชีวิตคืออะไร ต้องการอะไร เพื่ออะไร เกิดมาทำไม ขั้นตอนของชีวิต 4 ช่วง การหลีกห่างอบายมุขซึ่งเป็นทางแห่งความเสื่อม วิธีปฏิบัติที่ถูกต้องในความสัมพันธ์ระหว่างบุคคลในสังคม หลักการเลือกคู่ครอง หลักการครองชีวิตฆราวาสและครอบครัว หลักการพัฒนามนุษย์ หลักการดำเนินชีวิตเพื่อสร้างสุขในทุกมิติ กลวิธีเผชิญความแก่ ความเจ็บ และความตาย วิถีชีวิตที่ทำให้เป็นผู้มีอายุยืน,"What is life?, What does life need?, What for?, Why are we born?; four stages of life; avoidance all causes of ruin which lead to deterioration; right practices in human relationships in society, principles of spouse selection; rules of living for laymen and families; principles of human development; principles of life leading to create happiness in all dimensions; ways to encounter old age-sickness and death; ways of life leading to longevity."
13,0201117,Interdisciplinary,,,THAI ART IN THE RATANAKOSIN PERIOD,ศิลปะไทยสมัยรัตนโกสินทร์,ความเชื่อพื้นฐานในวัฒนธรรมไทยเกี่ยวกับเรื่องไตรภูมิและระบบภูมิจักรวาล ศิลปะไทยในระบบภูมิจักรวาลสมัยกรุงรัตนโกสินทร์ตอนต้น (รัชกาลที่ 1 - รัชกาลที่ 3) อิทธิพลศิลปะวิทยาศาสตร์และเทคโนโลยีของจีนและยุโรปในยุคแห่งการเปลี่ยนแปลง (รัชกาลที่ 4 - รัชกาลที่ 5),"Fundamental Thai cultural beliefs about the Trai Phum and cosmology; Thai arts in cosmology of the early Ratanakosin period (Rama I - Rama III); Influences of the Chinese and the European art, science and technology during a time of change (Rama IV - Rame V)."
14,0201121,Interdisciplinary,,,LIFE REFLECTION THROUGH FILMS,มองชีวิตพินิจผ่านฟิล์ม,การวิเคราะห์ภาพยนตร์ในฐานะสื่อมวลชนสากลในมุมมองแบบสหศาสตร์ ผลกระทบของภาพยนตร์ต่อเจตคติในมิติทางสังคม วัฒนธรรม คุณธรรม จริยธรรม รวมถึงการเปลี่ยนพฤติกรรมและบุคลิกภาพ การตีความแนวคิดหลักของภาพยนตร์ตามบริบทของสังคมและวัฒนธรรมที่แตกต่าง และการปรับใช้ในชีวิตประจำวัน,"Analytical study of film as a part of universal media and an interdisciplinary aspect; an impact of film on people 's attitudes towards ethics, social measures, culture, social values, including changes of social behavior and personality; an interpretation of various themes of the film in respect of different cultures and societies and its application in daily life."
15,0201122,Interdisciplinary,,,MANAGEMENT OF PUBLIC DISASTER,"การจัดการสาธารณภัย ",ความหมาย ประเภท และการเกิดของสาธารณภัย การเฝ้าระวังเพื่อช่วยเหลือตนเองและผู้อื่นให้พ้นจากสาธารณภัย ผลกระทบของสาธารณภัย กระบวนการบริหารจัดการดูแลช่วยเหลือและฟื้นฟูสภาพแวดล้อมทางธรรมชาติและสังคม รวมทั้งผู้ประสบภัย,"Definition, types, and occurrences of public disasters; monitoring public disasters for the benefit of the individual and public in order to avoid future disasters; impact of the incidents; management process to alleviate the hardship and to recreate natural and social environments as well as to rehabilitate affected individuals."
16,0201123,Interdisciplinary,,1,CULTURE AND THAI TRADITIONS IN THAI LIFESTYLE,"วัฒนธรรมและประเพณีไทยในวิถีชีวิตไทย ",บูรณาการศาสตร์ต่างสาขา อธิบายประเพณีปฏิบัติต่างๆในวิถีชีวิตไทย ตั้งแต่เกิดจนหมดอายุขัยเชื่อมโยงทั้งด้านสังคม มนุษย์ ศาสนา วัฒนธรรม และความเชื่อ ขั้นตอนต่างๆ ในประเพณีปฏิบัติ วิเคราะห์ทำความเข้าใจ ประโยชน์ของประเพณีปฏิบัติ ใช้หลักวิทยาศาสตร์อธิบาย พัฒนาตนเองด้านบุคลิกภาพ คุณลักษณะที่พึงประสงค์ และสติปัญญา เรียนรู้จากการมีส่วนรวมทำโครงการและฝึกปฏิบัติ การทำงานเป็นทีม,"Integration of multidisciplines to describe the culture and Thai traditions in Thai lifestyle from birth to death Thai traditional practice procedures; analysis and understanding the advantages of Thai traditions scientific any described; self-development of personality and characters required in graduates and wisdom learning by participation and practicing, and conducting a project in team work."
17,0201125,Interdisciplinary,1,,MANAGEMENT UNDER DIFFERENT CULTURE,"การบริหารในความแตกต่างทางวัฒนธรรม  ",พฤติกรรมองค์กรระหว่างประเทศ โลกาภิวัตน์ ความรับผิดชอบในสังคมและวัฒนธรรม วัฒนธรรมและจริยธรรมองค์กรที่แตกต่าง การติดต่อสื่อสารและความร่วมมือ การบริหาร ความขัดแย้ง การบริหารวิกฤติ การเจรจาต่อรองและการแก้ไขความขัดแย้ง การจูงใจ  โครงสร้างองค์กร ภาวะผู้นำ กลุ่มและทีมงาน  การบริหารงานบุคคลในระดับนานาชาติ การ บริหารความหลากหลาย แนวโน้มในอนาคตการบริหารการเปลี่ยนแปลง การบริหารความเสี่ยง,"International organizational behavior; globalization; responsibility in different societies and cultures; crisis management;  organizational culture and ethics; communication and coordination; conflict  management ; negotiation and conflict resolution ; motivation; organizational structure; leadership; groups and teams; international human resource management; managing diversity; future trend; change management; risk management."
18,0201127,Interdisciplinary,1,,QUALITY WORK MANAGEMENT,"การบริหารงานคุณภาพ ",หลักการทั่วไปของการบริหารคุณภาพ การทำงานและบริหารจัดการอย่างมีคุณภาพ ปัญหาทางคุณภาพในชีวิตประจำวัน คุณภาพชีวิต เครื่องมือในการระบุปัญหาและการแก้ไขปัญหาทางคุณภาพ แนวทางการปรับปรุงคุณภาพอย่างต่อเนื่อง การจัดการคุณภาพในชีวิตประจำวัน เทคนิคการทำงานเป็นหมู่คณะอย่างมีคุณภาพ การประกันคุณภาพ ระบบการบริหารจัดการคุณภาพ โครงการจัดการคุณภาพ,"General principles of quality management; working and management with quality; quality problems in everyday life; quality of life; quality problem identification tools; quality problem-solving; approaches for continuous quality improvements; daily quality management; quality team working; quality assurance; quality management system; quality management project's."
19,0201129,Interdisciplinary,,,UNDERWATER WORLD IN THAILAND,"เปิดโลกใต้ทะเลไทย ",ความหมาย และความสำคัญของปะการังและระบบนิเวศแนวปะการัง แนวปะการังในอ่าวไทยและทะเลอันดามัน ปัจจัยสิ่งแวดล้อมที่มีผลต่อแนวปะการัง การใช้ประโยชน์จากแนวปะการัง มาตรการอนุรักษ์แนวปะการัง และการฟื้นฟูแนวปะการังในประเทศไทย,"Definition and importance of coral and reef ecosystem, coral reef in the gulf of Thailand and the Andaman Sea; environmental factors affecting coral reef; utilization of coral reef resources and degradation of reef cords, methods of coral reef conservation and rehabilitation of coral reef in Thailand."
20,0201131,Interdisciplinary,,,THAI COASTAL COMMUNITY DEVELOPMENT,การพัฒนาชุมชนชายฝั่งทะเลไทย,อัตลักษณ์ของชุมชนต้นแบบชายฝั่งทะเลไทย ตัวอย่างชุมชนแบบอย่างชายฝั่งทะเลไทยด้านประวัติศาสตร์ การรับมือภัยพิบัติชายฝั่งทะเล และการจัดการทรัพยากรชายฝั่งแบบบูรณาการ การประเมินสถานภาพระดับการพัฒนาของตนและชุมชน การวิเคราะห์ชุมชนเชิงกลยุทธ์ด้วยเทคนิค SWOT; การระดมสมองเพื่อวางแผนการพัฒนาชุมชนชายฝั่งทะเลอย่างยั่งยืน,"Identity of Thai coastal prototype community; Thai coastal model community on History, coastal disaster preparedness and Integrated coastal resources management; assessment of self and community development; SWOT strategic analysis; brain-storming for coastal community sustainable development planning."
21,0201141,Interdisciplinary,,,COASTAL ENVIRONMENT,สภาวะแวดล้อมชายฝั่งทะเล,ความหมาย คุณค่าและความสำคัญของสภาพแวดล้อมชายฝั่งทะเล การใช้ประโยชน์จากกฎหมายและข้อกำหนดเกี่ยวกับสภาพแวดล้อมชายฝั่งทะเล ปัญหาสภาพแวดล้อมชายฝั่งทะเลอันเนื่องมาจากกิจกรรมของมนุษย์และภัยธรรมชาติ การประเมินผลกระทบสภาพแวดล้อมชายฝั่งทะเล กรณึศึกษาและการศึกษานอกสถานที่เกี่ยวกับอุตสาหกรรมชายฝั่ง การขนส่งทางทะเล ชุมชนชายฝั่งทะเล การกัดเซาะชายฝั่งและสึนามิ,"Meaning; value and Importance of coastal environment; use of law and regulations of coastal environment; coastal environmental problems from human activities and natural disaster; coastal environmental Impacts Assessment (EIA); case studies and field excursion on coastal industry, marine transportation, coastal community; coastal erosion and tsunami."
22,0201151,Interdisciplinary,,1,OUR ENVIRONMENT,"สภาวะแวดล้อมของเรา  ",สถานการณ์และสิ่งแวดล้อมในประเทศไทยด้านทรัพยากรธรรมชาติและปัญหามลพิษ นโยบายและการจัดการปัญหาสิ่งแวดล้อม กฎหมายสำคัญที่เกี่ยวข้องกับสิ่งแวดล้อม แนวคิดและทางเลือกในการจัดการสิ่งแวดล้อมที่ยั่งยืน,"The interdisciplinary nature of the environment from the point of view of economics, society, politics and health, with emphasis on the environmental problem, present and future, and the common responsibility of the society."
23,0201152,Science-Mathematic,,,"PRODUCTION PROMOTION SCIENCE ","วิทยาศาสตร์เพิ่มผลผลิต  ",การศึกษาวิชาการเพิ่มผลผลิตโดยอาศัยความรู้ทางวิทยาศาสตร์หลายสาขาและเทคโนโลยีที่เหมาะสม โดยเน้นให้เห็นความสัมพันธ์ระหว่างปัญหาในการเพิ่มผลผลิต และบทบาทของวิทยาศาสตร์และเทคโนโลยีในการแก้ไข รวมทั้งผลการกระทบต่อสิ่งแวดล้อม ต่อเศรษฐกิจ และต่อโครงสร้างทางสังคม,"Methods of increasing production using deferent science disciplines and appropriate technology, with emphasis on the environment, economics and social structure "
24,0201153,Interdisciplinary,,,WASTE MANAGEMENT,การจัดการของเสีย,ความหมายของเสียและของเสียอันตรายประเภทต่าง ๆ สถานการณ์ของเสียและสิ่งแวดล้อมในปัจจุบัน แหล่งที่มาของของเสีย เทคนิคการจัดการของเสียในแต่ละประเภท กฎหมายที่เกี่ยวข้อง วิธีการบริหารจัดการของเสียในระดับบุคคลและองค์กร,"Definition of waste and hazardous waste of various kinds; current situation of waste and environment; sources of waste; management techniques of different types of waste; laws concerning waste management; waste management at the individual and organization levels;"
25,0201154,Interdisciplinary,,,URBAN AND GLOBAL WARMING,เมืองกับปัญหาโลกร้อน,"ความหมายของคำว่า ""เมือง"" การเกิด การตั้งถิ่นฐาน องค์ประกอบ รูปแบบและบทบาทของเมือง การวางผังเมือง กระบวนการเป็นเมืองและการขยายตัวของเมือง การใช้ทรัพยากรของเมืองในมิติทางสังคม เศรษฐกิจ และสิ่งแวดล้อม ผลของการขยายตัวของเมืองต่อสภาพแวดล้อมและการเปลี่ยนแปลงสภาพภูมิอากาศ องค์กรบริหารเมือง กฎหมาย แนวทางในการแก้ไขปัญหาสิ่งแวดล้อมเมือง การบริหารจัดการเมือง และการวางแผนพัฒนาเมืองเพื่อการเป็นเมืองน่าอยู่อย่างยั่งยืน","Definition of the term ""urban"" and its origin, urban formation and components, urban plan and functions; the process development and expansion of the urban, the use of urban resources in social, economic and environmental perspectives; the impact of urban expansion on its environment and climate change; unban administrative organizations, laws. guidelines for solving urban environmental problems, for urban management, and urban planning for development toward a sustainable livable city."
26,0201170,Social Science,,,MILITARY SCIENCE,วิทยาการทหาร,วิวัฒนาการทางทหาร; ความสัมพันธ์ระหว่างพลเรือนกับทหาร; วิชาหลักการสงคราม ศึกษาเกี่ยวกับพื้นฐานทางทหาร เช่น ภารกิจ การจัด และการดำเนินงานทางทหาร กองทัพบก กองทัพเรือ กองทัพอากาศ การกำลังสำรอง ความสัมพันธ์ระหว่าง ผบ. กับ ฝอ. ศึกษาเกี่ยวกับความมั่นคงแห่งชาติซึ่งประกอบด้วยหัวข้อ กำลังอำนาจแห่งชาติ ความมั่นคงแห่งชาติ และยุทธศาสตร์ชาติ,"Military evolution: Civilian and Military relationship; Principle of warfare; Study on military basis such as mission, organisation and military operation: army, navy, air-forced, preserved resources; the relationship between commander and "
27,0201171,Social Science,1,,EFFECTIVE CAREER MANAGEMENT,"การบริหารงานอาชีพอย่างมีประสิทธิภาพ ",เป้าหมายและความสำคัญของการวางแผนอาชีพ การเตรียมความพร้อมในการหางานและประกอบอาชีพการสัมภาษณ์งาน การปรับตัวสู่ชีวิตการทำงานในสภาวะแข่งขันสูง และมีคุณธรรมในการทำงาน,"Objectives and importance of career planning; preparation for job search and career; assessment of personal capacity and aptitude for planning and development for ultimate preparedness"
28,0201172,Social Science,1,,SELF AND CAREER MANAGEMENT,"การบริหารประสิทธิภาพตนเองและงานอาชีพ ",ความหมายและความสำคัญของการบริหารตนเองและบริหารงาน การเรียนรู้ความต้องการของตนเองเพื่อกำหนดเป้าหมายชีวิตและวางแผนการทำงาน คุณสมบัติหลักในการบริหารงานและการเพิ่มประสิทธิภาพในการทำงาน องค์ประกอบที่จะทำให้ประสบความสำเร็จในการทำงาน การประเมินผลการทำงานของตนเองอย่างมีระบบและการพัฒนาตนเองอย่างต่อเนื่อง,"Definition and importance of self management and career planning; learning personal needs to set aims and work plans; principal qualifications in career management and enhancement of efficiency; factors contributing to suceess in the work place; systematic self assessment and continuous self learning"
29,0201173,Social Science,1,,RETHINKING JUSTICE FOR INNOVATORS,"พลิกนิยามความยุติธรรมเพื่อนวัตกร  ",ประเด็นสำคัญและแนวคิดหลักเกี่ยวกับความยุติธรรม ความไม่เท่าเทียม เพศสภาพ การกำกับดูแลกิจการ สิ่งแวดล้อม การทุจริตและวัฒนธรรม เทคโนโลยีและโลกที่เปลี่ยนแปลงตลอดเวลา การคิดเชิงออกแบบ,"Key issues and core concept of justice; inequality; gender; corporate governance; environment; corruption and culture; technology and the ever-changing world; design thinking"
30,0201200,Interdisciplinary,,,STUDY PROCESS ON THAI SOCIETY,กระบวนการศึกษาสังคมไทย,หลักการวิจัยเบื้องต้น การเขียนโครงการ และรายงานวิจัย แนวทางการศึกษาปัญหาสังคมไทยบางประเด็น,"Principle of basic research; writing of research proposals and research reports; approaches to the study of selected problems of Thai society."
31,0201201,Interdisciplinary,,,IDEAL GRADUATE I,บัณฑิตอุดมคติ 1,แนวคิดหลักของมนุษยศาสตร์ สังคมศาสตร์ วิทยาศาสตร์และเทคโนโลยี การประยุกต์คุณธรรม  การวิเคราะห์กรณีศึกษา การสังเคราะห์กรณีตัวอย่างจากประสบการณ์ การประเมินและการบูรณาการ แนวคิดหลักเกี่ยวกับบัณฑิตที่มีคุณภาพในเชิงคุณธรรมและจริยธรรม,"Concepts of Humanities, Social Science, and Science & Technology; application of virtuous thinking; practice of analytical thinking, through case studies, synthesis of cases based on one’s experience and evaluation, integration of sound concepts of acceptable morals and ethics of graduates."
32,0201202,Interdisciplinary,,,IDEAL GRADUATE II,บัณฑิตอุดมคติ 2,ศาสนา และลัทธิความเชื่อ ความสัมพันธ์ระหว่างสังคม ศาสนา ปรัชญา อุดมการณ์ และวิทยาศาสตร์ การรู้จักตนเอง กาย – จิต และการอยู่ร่วมกันในสังคม การเสียสละเพื่อส่วนรวมและการให้,"Religion and Sectarian beliefs; relationship between society, religion, philosophy, ideology and science, self-realization; body, mind, and social co-existence; sacrifice and giving."
33,0201203,Interdisciplinary,,,IDEAL GRADUATE III,บัณฑิตอุดมคติ 3,กฎและผลการปฏิบัติตามกฎธรรมชาติ พฤติกรรมมนุษย์ การปฏิวัติทางวิทยาศาสตร์และอุตสาหกรรม การใฝ่รู้และการคิดริเริ่มสร้างสรรค์,"Reconciliation to the law of nature; human behavior; scientific and industrial revolution; the quest of knowledge; creativity."
34,0201204,Interdisciplinary,,,IDEAL GRADUATE IV,บัณฑิตอุดมคติ 4,การจัดระเบียบทางสังคม สงคราม – สันติภาพ ผลกระทบของวิทยาศาสตร์เทคโนโลยีและพลังงาน ปัญหาการเห็นการณ์ไกล ความรอบคอบ,"Arrangement of social order; war and peace; impacts of science, technology and energy; problems identification; far sightedness and prudence."
35,0201205,Interdisciplinary,,,IDEAL GRADUATE V,บัณฑิตอุดมคติ 5,ปรากฏการณ์ทางสังคม ทรัพยากรธรรมชาติและสิ่งแวดล้อม การใช้เหตุผล และความรับผิดชอบ,"Social phenomena; natural resources; environment; reasoning and responsibilities."
36,0201206,Interdisciplinary,,,THAI IDEAL GRADUATE,บัณฑิตอุดมคติไทย,คุณธรรมสำหรับการพัฒนาตนเอง ได้แก่ รู้จักเหตุ รู้จักผล รู้จักตน รู้จักกาล รู้จักบุคคล รู้จักชุมชน รู้จักประมาณ  รู้จักเจรจา และรู้จักเขียน ความรู้ในเชิงสหวิทยาการในแง่ของลัทธิความเชื่อ ศาสนา เชื้อชาติ เผ่าพันธุ์ วัฒนธรรม การเปลี่ยนแปลงทางวิทยาการ สังคม พลังงานและสิ่งแวดล้อม ปัญหา และทางเลือกในยุคโลกไร้พรมแดน,"Virtues for self-evolution; understanding causes, consequences, selves, time, persons, communities, contentedness, speaking and writing; interdisciplinary knowledge concerning beliefs religions, race, cultures academic evolution, societies, energy and environment problems and alternative solutions in globalization age."
37,0201209,Interdisciplinary,,,VALUE OF URBAN ENVIRONMENT,คุณค่าสิ่งแวดล้อมเมือง,องค์ประกอบของสิ่งแวดล้อมเมืองที่ปรากฏในภูมิภาคต่าง ๆ ของโลก ปัจจัยด้านภูมิศาสตร์ การปกครอง เศรษฐกิจ สังคม วัฒนธรรม และเทคนิควิทยาการอันทำให้เกิดสิ่งแวดล้อมเมืองที่มีอัตลักษณ์ กระบวนการรับรู้เกี่ยวกับสิ่งแวดล้อมเมืองของมนุษย์ หลักการวิเคราะห์และประเมินคุณค่าสิ่งแวดล้อมเมือง การมีส่วนร่วมในการธำรงรักษาและสร้างสรรค์สิ่งแวดล้อมเมืองที่มีคุณค่า,"Elements of urban environments existing in different regions of the world; factors influencing unique urban environments; geography, politics, socio-economic, culture and technology; human perception in urban environments; principles for analysis and evaluation of urban environments; participation in protecting and creating the quality urban environments."
38,0201210,Interdisciplinary,,,MATERIALS AND WASTE MANAGEMENT FOR GREEN SOCIETY,"วัสดุและการจัดการวัสดุเหลือทิ้งเพื่อสังคมสีเขียว  ","ความหมายและองค์ประกอบของสังคมสีเขียวและวัสดุประเภทต่างๆ รวมทั้งผลิตภัณฑ์ที่เป็นมิตรต่อสิ่งแวดล้อม วงจรชีวิตและการออกแบบผลิตภัณฑ์ที่เป็นมิตรต่อสิ่งแวดล้อม วัตถุดิบและกระบวนการผลิตพื้นฐาน การเลือกผลิตภัณฑ์ที่เหมาะสมกับการใช้งาน ผลกระทบของการบริโภคต่อสังคมและสิ่งแวดล้อม การสร้างมูลค่าเพิ่มจากวัสดุเหลือทิ้งจากการผลิตและการใช้งานและความเชื่อมโยงกับธุรกิจที่เกี่ยวข้อง ระเบียบข้อบังคับและกฎหมายที่เกี่ยวข้อง  ","Definitions and components of green society and Eco-friendly materials and products; life cycle and design of Eco-friendly products; raw materials and general production process; product selection for proper utilization; impact of individual consumption on society and the environment; consumer and industrial waste management and their use; disposal of toxic wastes; value creation of consumer and industrial wastes and the linkage of relevant business, related laws and regulations.  "
39,0201211,Humanities,,,MEDITATION FOR LIFE DEVELOPMENT,"สมาธิเพื่อพัฒนาชีวิต  ",ความหมายของการทำสมาธิ จุดประสงค์ วิธีการ ขั้นตอน จุดเริ่มต้นของการทำสมาธิ ลักษณะของการบริกรรมและการทำสมาธิ ประโยชน์ของสมาธิ ลักษณะอาการต่อต้านสมาธิ และการนำสมาธิไปใช้ในชีวิตประจำวัน สมาธิกับการเรียนการงาน ลักษณะ ขั้นตอน คุณสมบัติ ประโยชน์ของฌานและญาณ ความรู้เบื้องต้นเรื่องวิปัสสนา ความแตกต่างระหว่างสมถะกับวิปัสสนา แผนผังสมถะกับวิปัสสนา ชาวโลกกับวิปัสสนา,"Meaning of meditation; objectives, methods, processes, the beginning of meditation practice; characteristics of reciting and meditating; benefits of meditation; meditation resistances and applying meditation to daily life; meditation as related to education and work; characteristic, processes, qualities and benefits of the states of absorption (Jhana) and insight knowledge (Nana); fundamental knowledge about insight meditation (Vipassana); differences between the foundation meditation (Summata) and the insight meditation (Vipassana); layout of the foundation meditation (Summata) and the insight Meditation (Vipassana); Insight mediation as related to the world population. "
